"","SAMEA103885102","SAMEA103885347","SAMEA103885182","SAMEA103885136","SAMEA103885368","SAMEA103885218","SAMEA103885284","SAMEA103885059","SAMEA103885111","SAMEA103884919","SAMEA103885262","SAMEA103885228"
"ENSG00000000003.14",83.818,144.156,241.527,140.124,106.873,32.232,67.708,69.832,243.366,151.9,953.947,511.918
"ENSG00000000005.5",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000000419.12",1462.001,1380,1399,1276,1429.999,1137.999,985,786,1009,809,1519,1240.999
"ENSG00000000457.13",616.732,1058.364,580.188,1036.716,576.336,990.532,418.199,664.665,552.282,921.497,466.31,816.994
"ENSG00000000460.16",913.913,330.36,492.361,173.41,983.525,171.138,546.347,98.984,433.098,164.122,712.512,377.231
"ENSG00000000938.12",210.999,273.001,528,669,1377,2675,1146,1158.999,1257.999,1446,128,149
"ENSG00000000971.15",508,8355.997,140.999,6670.997,79,6074,20,3968,96,6911.993,1862.902,8627.928
"ENSG00000001036.13",7715.294,6376.5,5099.999,4314,5873,3967,5491,4645,5070,3273,4842,4260.015
"ENSG00000001084.12",6363.152,15601.71,5275.775,14894.069,3748.245,8450.643,2635.242,9504.517,4190.953,8322.113,1960.02,3949.039
"ENSG00000001167.14",1605,1614,1765,1400,1641,1468,1392,1039,1573,1306,2248,1731
"ENSG00000001460.17",115.045,108.721,99.883,97.152,100.187,73.957,68.329,80.313,95.755,75.36,223.017,227.763
"ENSG00000001461.16",539.112,491.248,719.258,705,411.509,578.435,365.311,503.058,1088.095,659.682,1098.638,827.121
"ENSG00000001497.16",1492,1165,1166.001,729,1732,602,1055,614,1125,501.001,1676.999,1163
"ENSG00000001561.6",75,297,203,503,84,348,14,50,114,321,191,544
"ENSG00000001617.11",16,17,6,27,12,6,5,14,48,108.999,111,205
"ENSG00000001626.15",5,1,2,0,1,1,3,2.006,70,34,9,2
"ENSG00000001629.9",1992,2579,2067,1854,1331,1307.029,1543.001,1473,1667,1382.16,2959.999,2852
"ENSG00000001630.16",4340.636,2116.971,2048.656,1173.347,2802.903,1013.368,2728.464,1533.829,2089.276,870.647,3650.047,2708.761
"ENSG00000001631.15",1160.027,1000.21,1161.434,860.154,1083.44,927.541,805.882,606.092,992.424,724.226,1110.152,868.558
"ENSG00000002016.17",274.309,294.747,194,190.115,221,157.001,169.314,134,199.385,124.998,236.646,216.001
"ENSG00000002079.14",0,0,1,3,5,0,0,2,17.001,1,6,1
"ENSG00000002330.13",406,293.999,365.001,328,527,276.999,444.001,273,510,307,880,651
"ENSG00000002549.12",15589.999,60431.999,16586.999,72048.999,10343,67701.99,5777.001,52617,5136.001,51792.999,7382.001,55344.997
"ENSG00000002586.19",20193.022,12546,14827,9691.001,13024,6620,14317.006,9323,10320.113,6113.006,11459.006,8643.999
"ENSG00000002587.9",2415.341,621.374,2594.284,578.659,5653.055,1016.885,1838.805,843.071,2860.001,449.024,1748.372,541.849
"ENSG00000002726.20",0,4,32,37,5,5,17,26,8,7,2,1
"ENSG00000002745.12",1,0,0,0,0,0,0,0,0,0,1,1
"ENSG00000002746.14",3.033,2.026,6.2,5,3.553,1,0,0,11.019,15.192,122.149,122
