"gene_id","gene_id_clean","symbol","entrez"
"ENSG00000000003.14","ENSG00000000003","TSPAN6","7105"
"ENSG00000000005.5","ENSG00000000005","TNMD","64102"
"ENSG00000000419.12","ENSG00000000419","DPM1","8813"
"ENSG00000000457.13","ENSG00000000457","SCYL3","57147"
"ENSG00000000460.16","ENSG00000000460","FIRRM","55732"
"ENSG00000000938.12","ENSG00000000938","FGR","2268"
"ENSG00000000971.15","ENSG00000000971","CFH","3075"
"ENSG00000001036.13","ENSG00000001036","FUCA2","2519"
"ENSG00000001084.12","ENSG00000001084","GCLC","2729"
"ENSG00000001167.14","ENSG00000001167","NFYA","4800"
"ENSG00000001460.17","ENSG00000001460","STPG1","90529"
"ENSG00000001461.16","ENSG00000001461","NIPAL3","57185"
"ENSG00000001497.16","ENSG00000001497","LAS1L","81887"
"ENSG00000001561.6","ENSG00000001561","ENPP4","22875"
"ENSG00000001617.11","ENSG00000001617","SEMA3F","6405"
"ENSG00000001626.15","ENSG00000001626","CFTR","1080"
"ENSG00000001629.9","ENSG00000001629","ANKIB1","54467"
"ENSG00000001630.16","ENSG00000001630","CYP51A1","1595"
"ENSG00000001631.15","ENSG00000001631","KRIT1","889"
"ENSG00000002016.17","ENSG00000002016","RAD52","5893"
"ENSG00000002079.14","ENSG00000002079",NA,NA
"ENSG00000002330.13","ENSG00000002330","BAD","572"
"ENSG00000002549.12","ENSG00000002549","LAP3","51056"
"ENSG00000002586.19","ENSG00000002586","CD99","4267"
"ENSG00000002587.9","ENSG00000002587","HS3ST1","9957"
"ENSG00000002726.20","ENSG00000002726","AOC1","26"
"ENSG00000002745.12","ENSG00000002745","WNT16","51384"
"ENSG00000002746.14","ENSG00000002746","HECW1","23072"
"ENSG00000002822.15","ENSG00000002822","MAD1L1","8379"
"ENSG00000002834.17","ENSG00000002834","LASP1","3927"
"ENSG00000002919.14","ENSG00000002919","SNX11","29916"
"ENSG00000002933.8","ENSG00000002933","TMEM176A","55365"
"ENSG00000003056.7","ENSG00000003056","M6PR","4074"
"ENSG00000003096.14","ENSG00000003096","KLHL13","90293"
"ENSG00000003137.8","ENSG00000003137","CYP26B1","56603"
"ENSG00000003147.18","ENSG00000003147","ICA1","3382"
"ENSG00000003249.13","ENSG00000003249","DBNDD1","79007"
"ENSG00000003393.14","ENSG00000003393","ALS2","57679"
"ENSG00000003400.14","ENSG00000003400","CASP10","843"
"ENSG00000003402.19","ENSG00000003402","CFLAR","8837"
"ENSG00000003436.15","ENSG00000003436","TFPI","7035"
"ENSG00000003509.15","ENSG00000003509","NDUFAF7","55471"
"ENSG00000003756.16","ENSG00000003756","RBM5","10181"
"ENSG00000003987.13","ENSG00000003987","MTMR7","9108"
