"sample","total_counts","detected_genes_count_gt0","detected_genes_count_ge10","condition","line"
"SAMEA103885102",40075159.972,26477,16294,"naive","diku_1"
"SAMEA103885347",40467958.028,26420,16335,"IFNg","diku_1"
"SAMEA103885182",40738759.997,25328,16025,"naive","eiwy_1"
"SAMEA103885136",39702125.882,24604,15620,"IFNg","eiwy_1"
"SAMEA103885368",39226849.076,27026,16634,"naive","fikt_3"
"SAMEA103885218",37805026.881,25530,15616,"IFNg","fikt_3"
"SAMEA103885284",33348797.017,24066,14954,"naive","ieki_2"
"SAMEA103885059",31636942.083,23293,14486,"IFNg","ieki_2"
"SAMEA103885111",34187619.879,25799,16348,"naive","podx_1"
"SAMEA103884919",33448609.956,24121,15438,"IFNg","podx_1"
"SAMEA103885262",45746949.926,27705,17775,"naive","qaqx_1"
"SAMEA103885228",41204928.968,27117,17369,"IFNg","qaqx_1"
