"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id_clean","symbol","entrez","log2FoldChange_raw","symbol_for_plot"
"ENSG00000113555.5",1328.42752280124,-6.05104689524622,0.221240900834592,-27.4213008797899,1.52841673145492e-165,3.3953777689271e-162,"ENSG00000113555","PCDH12","51294",-6.06671330870112,"PCDH12"
"ENSG00000170989.9",859.335251470645,-5.38711602161553,0.216294506532704,-24.9759439738075,1.11624220102439e-137,1.52598895358503e-134,"ENSG00000170989","S1PR1","1901",-5.40215947700317,"S1PR1"
"ENSG00000092068.19",7484.0184417632,-2.19568614211167,0.0937704998097491,-23.4899936997973,5.16192346989511e-122,4.36846209080838e-119,"ENSG00000092068","SLC7A8","23428",-2.20266844975785,"SLC7A8"
"ENSG00000077063.10",1449.28894866127,-1.95879141378394,0.0839871408391934,-23.3924783302672,5.09749869775571e-121,4.11785212984157e-118,"ENSG00000077063","CTTNBP2","83992",-1.96466737210193,"CTTNBP2"
"ENSG00000170873.18",3524.18297822555,-2.94907915359456,0.132147090637722,-22.4057020612184,3.46292605458555e-111,2.67578790617802e-108,"ENSG00000170873","MTSS1","9788",-2.96084834108562,"MTSS1"
"ENSG00000257093.6",2501.27654026153,-2.06835353656088,0.0974392164701469,-21.3165910660639,7.96535305392444e-101,4.88138808532224e-98,"ENSG00000257093","DENND11","57189",-2.0770719312918,"DENND11"
"ENSG00000099250.17",45787.2698860234,-1.91170287192945,0.0927923082318721,-20.6829269486302,4.93536287374998e-95,2.43642413867457e-92,"ENSG00000099250","NRP1","8829",-1.91921653255458,"NRP1"
"ENSG00000119943.12",457.739239922297,-2.71415088708929,0.136271649211257,-20.0110873162344,4.40925534986998e-89,1.82235549018347e-86,"ENSG00000119943","PYROXD2","84795",-2.72694387109374,"PYROXD2"
"ENSG00000178573.6",14054.0312572519,-2.40468011249747,0.121246169200258,-19.9238512192674,2.52780688865582e-88,9.7661269619981e-86,"ENSG00000178573","MAF","4094",-2.41569063605207,"MAF"
"ENSG00000172399.5",1295.35775123929,-7.81264256895434,0.414217487103913,-18.9761993963773,2.68317494803733e-80,8.08226867398636e-78,"ENSG00000172399","MYOZ2","51778",-7.8602736287502,"MYOZ2"
"ENSG00000177675.8",2684.94398466678,-4.19298145258915,0.224819061542981,-18.7565421919808,1.71179624255635e-78,4.98722013487073e-76,"ENSG00000177675","CD163L1","283316",-4.21682821339245,"CD163L1"
"ENSG00000153012.11",971.587057347293,-6.18914100607291,0.332712506424149,-18.7201313270826,3.39313580514517e-78,9.72625960145804e-76,"ENSG00000153012","LGI2","55203",-6.22842181442288,"LGI2"
"ENSG00000268758.7",341.303027255674,-2.73916621290158,0.150216629915956,-18.3306333997549,4.71383748234163e-75,1.30897374587774e-72,"ENSG00000268758",NA,NA,-2.75356597353604,"ENSG00000268758"
"ENSG00000164125.15",4797.01924997171,-2.28270336633015,0.130940730609569,-17.5337597921225,7.91578588043396e-69,1.82700450216977e-66,"ENSG00000164125","GASK1B","51313",-2.29588331751321,"GASK1B"
"ENSG00000141655.16",6563.41506742396,-4.06528278405546,0.236941742072,-17.2940244626733,5.21788283699996e-67,1.15915267223954e-64,"ENSG00000141655","TNFRSF11A","8792",-4.0976762836216,"TNFRSF11A"
"ENSG00000270547.5",328.857060057661,-5.14353656196675,0.306185737873791,-16.922953987694,3.04754400649183e-64,6.29778512597359e-62,"ENSG00000270547","LINC01235","401492",-5.1815671537263,"LINC01235"
"ENSG00000163590.13",1032.35484602277,-1.37826612828399,0.0824808736816754,-16.7964610751291,2.59045947930675e-63,5.17276919845388e-61,"ENSG00000163590","PPM1L","151742",-1.3853867842369,"PPM1L"
"ENSG00000213626.12",5759.19044953221,-4.24245478611942,0.255208724123759,-16.7482097962497,5.83560905577562e-63,1.13967521032137e-60,"ENSG00000213626","LBH","81606",-4.27428925345792,"LBH"
"ENSG00000125810.9",25742.2864455906,-2.77339711307495,0.167925942875472,-16.6301937903583,4.21229665597139e-62,7.79801418436704e-60,"ENSG00000125810","CD93","22918",-2.79264097244774,"CD93"
"ENSG00000167680.15",4126.70054879188,-2.98955643544457,0.18224722853579,-16.4998228830329,3.67970302484698e-61,6.60562446036167e-59,"ENSG00000167680","SEMA6B","10501",-3.00704699176416,"SEMA6B"
"ENSG00000154229.11",8958.98612970566,-1.78928939722892,0.109851255037341,-16.3918401757439,2.18721856253408e-60,3.8486384448867e-58,"ENSG00000154229","PRKCA","5578",-1.80066421567698,"PRKCA"
"ENSG00000226137.5",1319.69108780343,-1.25025784068685,0.0774290461021364,-16.2303601252589,3.07649168112603e-59,5.25725097663191e-57,"ENSG00000226137","BAIAP2-DT","440465",-1.25670130239295,"BAIAP2-DT"
"ENSG00000178726.6",7181.72129451142,-3.73806194408262,0.23245480278507,-16.2072897210432,4.47889588303361e-59,7.58085120316889e-57,"ENSG00000178726","THBD","7056",-3.76746233578559,"THBD"
"ENSG00000137474.20",3902.48896963164,-1.52420190007895,0.0957254757826149,-16.0189050867642,9.42960851146578e-58,1.49627680773009e-55,"ENSG00000137474","MYO7A","4647",-1.53341731094705,"MYO7A"
"ENSG00000136044.11",1304.01425600321,-1.62692565963688,0.103283949244742,-15.8523401082835,1.35441922027391e-56,2.03989308328034e-54,"ENSG00000136044","APPL2","55198",-1.63729229115434,"APPL2"
"ENSG00000162745.10",3853.78349209488,-2.42477844691101,0.155347906993511,-15.7060829083113,1.37411101031192e-55,2.01823974175731e-53,"ENSG00000162745","OLFML2B","25903",-2.43990710687272,"OLFML2B"
"ENSG00000183020.13",10211.654947806,-1.38969121725086,0.0902059585175384,-15.5672580338238,1.21505305611071e-54,1.70030889080312e-52,"ENSG00000183020","AP2A2","161",-1.40425943243093,"AP2A2"
"ENSG00000177575.12",37610.767325847,-1.45143675072152,0.0952468510491281,-15.3238501534269,5.29838578567404e-53,7.02708299873127e-51,"ENSG00000177575","CD163","9332",-1.45954847306261,"CD163"
"ENSG00000010322.15",8580.1598547071,-1.48374571153486,0.0979672805028818,-15.2434114783692,1.82108243750949e-52,2.3797262558396e-50,"ENSG00000010322","NISCH","11188",-1.49335556812224,"NISCH"
"ENSG00000205726.14",5176.12168589994,-1.80296492051165,0.121562758072907,-14.9642701431444,1.25695303629984e-50,1.50936279467032e-48,"ENSG00000205726","ITSN1","6453",-1.81909795114869,"ITSN1"
"ENSG00000047648.21",1447.88502440441,-1.24718738013333,0.0840578727521094,-14.9237607574303,2.3088520377357e-50,2.68189009246006e-48,"ENSG00000047648","ARHGAP6","395",-1.254459582731,"ARHGAP6"
