"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050867","positive regulation of cell activation","117/2069","401/18860",0.291770573566085,2.6596389644545,11.7918791240414,4.60259067874655e-24,1.84028337888939e-20,1.33360921929567e-20,"LRRK2/NOD2/HLA-DMA/HLA-DMB/HLA-DPA1/IL15RA/CD40/PDCD1LG2/CD38/CD74/TNFRSF14/JAK2/IL12RB1/HLA-DQB1/HLA-DOA/HLA-E/PLEK/CCDC88B/CD55/HLA-DPB1/DUSP10/HLA-A/IL15/GPR183/HLA-DQA1/PLA2G4A/KARS1/LILRB4/RIPK2/CD274/AKIRIN2/MYD88/KLRK1/CD28/FCHO1/TGFB1/HLA-DRA/CD86/CD47/SOCS1/LYN/CYLD/HLA-DOB/IL4I1/LILRB2/B2M/STAT5A/LILRA2/HLA-DRB1/TBX21/BCL2/FLT3LG/PTPRC/EFNB1/BTN2A2/TLR4/KITLG/ADAM8/HLA-DRB5/RUNX1/HLX/CCL5/EBI3/TNFSF13B/IL2RG/TREM2/STAP1/CDKN1A/LILRB1/CD80/CTSC/RHOH/FOXO3/VCAM1/HLA-DQB2/BCL6/TNF/TICAM1/SRC/CD226/VSIR/PHF10/SHB/IL33/IL6/IL12A/GAS6/CCL2/VNN1/IL18/MAP3K8/IL7/NR4A3/SLAMF1/ATAD5/CD83/CD70/CD24/THBS1/HAVCR1/EGR3/CR1/IL10/CD320/IL7R/HLA-G/FGF10/CD2/TNFSF11/RASGRP1/CCR2/GATA3/LILRA5/IL2RA/CCL3/MYB/PRLR",117
"GO:0002696","positive regulation of leukocyte activation","113/2069","381/18860",0.296587926509186,2.70355161622197,11.7917930007763,6.31844173482022e-24,1.84028337888939e-20,1.33360921929567e-20,"LRRK2/NOD2/HLA-DMA/HLA-DMB/HLA-DPA1/IL15RA/CD40/PDCD1LG2/CD38/CD74/TNFRSF14/JAK2/IL12RB1/HLA-DQB1/HLA-DOA/HLA-E/CCDC88B/CD55/HLA-DPB1/DUSP10/HLA-A/IL15/GPR183/HLA-DQA1/PLA2G4A/KARS1/LILRB4/RIPK2/CD274/AKIRIN2/MYD88/KLRK1/CD28/FCHO1/TGFB1/HLA-DRA/CD86/CD47/SOCS1/LYN/CYLD/HLA-DOB/IL4I1/LILRB2/B2M/STAT5A/HLA-DRB1/TBX21/BCL2/FLT3LG/PTPRC/EFNB1/BTN2A2/TLR4/KITLG/ADAM8/HLA-DRB5/RUNX1/HLX/CCL5/EBI3/TNFSF13B/IL2RG/TREM2/STAP1/CDKN1A/LILRB1/CD80/CTSC/RHOH/FOXO3/VCAM1/HLA-DQB2/BCL6/TNF/TICAM1/SRC/CD226/VSIR/PHF10/SHB/IL33/IL6/IL12A/GAS6/CCL2/VNN1/IL18/MAP3K8/IL7/NR4A3/SLAMF1/ATAD5/CD83/CD70/CD24/THBS1/HAVCR1/EGR3/CR1/IL10/CD320/IL7R/HLA-G/FGF10/CD2/TNFSF11/RASGRP1/CCR2/GATA3/IL2RA/CCL3/PRLR",113
"GO:0050863","regulation of T cell activation","117/2069","404/18860",0.28960396039604,2.639889170164,11.696008746036,9.24765517029845e-24,1.84028337888939e-20,1.33360921929567e-20,"IRF1/NOD2/HLA-DMA/HLA-DMB/HLA-DPA1/ASCL2/FGL2/PDCD1LG2/CD74/TNFRSF14/LAG3/JAK2/IL12RB1/HLA-DQB1/IDO1/HLA-DOA/HLA-E/CCDC88B/CD55/HLA-DPB1/DUSP10/HLA-A/IL15/HLA-DQA1/LILRB4/RIPK2/CD37/CD274/KLRK1/CD28/FCHO1/TGFB1/HLA-DRA/CD86/CGAS/CD47/SOCS1/PRELID1/LYN/PTPN2/CYLD/HLA-DOB/IL4I1/LILRB2/B2M/STAT5A/HLA-DRB1/CTLA4/TBX21/PTPRC/IRF4/EFNB1/BTN2A2/SIT1/TNFRSF21/KITLG/ADAM8/HLA-DRB5/ZC3H12A/RUNX1/PAG1/FGL1/HLX/CCL5/TSPAN32/EBI3/TNFSF13B/JAK3/IL2RG/LILRB1/IL27/CD80/RHOH/SH3RF1/FOXO3/VCAM1/HLA-DQB2/BCL6/SRC/VSIR/TNFSF8/PHF10/SHB/PDCD1/KAT2A/IL6/IL12A/TNFSF18/FANCD2/CD69/FANCA/CCL2/VNN1/IL18/JUNB/MAP3K8/IL7/SLAMF1/SLC46A2/CD83/CD70/CD24/EGR3/CR1/IL10/IL7R/HLA-G/BMP4/CD2/TNFSF11/RASGRP1/CCR2/GATA3/RIPOR2/IL2RA/PLA2G2D/ADORA2A",117
"GO:0002819","regulation of adaptive immune response","80/2069","224/18860",0.357142857142857,3.25554097907892,11.920642807915,6.93300742108547e-23,1.03475135759701e-19,7.49859486859508e-20,"IRF1/ASCL2/CD40/TAP2/TNFRSF14/P2RX7/JAK2/IL12RB1/SECTM1/HLA-E/CEACAM1/CD55/DUSP10/C3/HLA-A/HLA-H/PLA2G4A/MR1/LILRB4/HLA-B/RIPK2/HLA-C/CD274/AKIRIN2/CD7/CD28/SLC11A1/FCGR1A/DENND1B/ARID5A/TGFB1/HLA-DRA/IL4I1/B2M/STAT5A/HLA-DRB1/TBX21/PTPRC/HLA-F/IRF7/ZC3H12A/CD1A/HLX/CD1C/TNFSF13B/JAK3/TREM2/LILRB1/IL27/CD80/CLEC6A/FCER1G/RSAD2/BCL6/TNF/TNFAIP3/PARP3/CR1L/CD226/PDCD1/IL33/CD1B/IL6/IL12A/TNFSF18/CD69/IL18/JUNB/LTA/CD1E/SLAMF1/ATAD5/FCER2/CR1/IL10/IL7R/HLA-G/CCR2/GATA3/ALOX15",80
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","114/2069","402/18860",0.283582089552239,2.5849967177164,11.2758779828365,2.34903151026269e-22,2.80474362325365e-19,2.03253042256413e-19,"IL18BP/ASCL2/C4A/CD40/TAP2/CD74/P2RX7/JAK2/IL12RB1/SECTM1/HLA-E/CEACAM1/CD55/C3/HLA-A/CSF2RB/TLR8/HLA-H/BTN3A3/PLA2G4A/C1QB/MR1/LILRB4/HLA-B/RIPK2/HLA-C/C1QC/C2/CD274/CD7/MYD88/C4B/BTN3A2/CD28/SEMA4A/SLC11A1/FCGR1A/DENND1B/ARID5A/ICAM1/TGFB1/HLA-DRA/RELB/C1R/IL4I1/B2M/STAT5A/HLA-DRB1/TBX21/PTPRC/IRF4/TLR4/HLA-F/STAT3/C1S/IRF7/ZC3H12A/CD1A/PCYT1A/HLX/C1RL/SLAMF6/EBI3/CD1C/NBN/TNFSF13B/JAK3/TREM2/C5/LILRB1/IL27/CD80/CLEC6A/NFKB2/FCER1G/CTSC/RSAD2/BCL6/EXO1/FCGR3B/TNF/TNFAIP3/PARP3/LIG4/CR1L/CD226/KLHL6/UNG/PDCD1/IL12RB2/IL33/CD1B/IL6/IL12A/TNFSF18/CD69/IL18/JUNB/LTA/CD1E/SLAMF1/ATAD5/CD70/STAT4/FCER2/CR1/IL10/IL7R/HLA-G/SOCS3/FCER1A/CCR2/GATA3/CCR6",114
"GO:0007159","leukocyte cell-cell adhesion","120/2069","439/18860",0.273348519362187,2.49171245779161,11.1009991730708,5.40757154959724e-22,5.38053369184925e-19,3.89914369628853e-19,"IRF1/NOD2/HLA-DMA/HLA-DMB/HLA-DPA1/ASCL2/FGL2/PDCD1LG2/CD74/TNFRSF14/LAG3/JAK2/IL12RB1/KLF4/HLA-DQB1/IDO1/HLA-DOA/HLA-E/CCDC88B/CD55/HLA-DPB1/DUSP10/HLA-A/IL15/HLA-DQA1/LILRB4/RIPK2/CD37/CD274/CX3CR1/SELL/KLRK1/CD28/FCHO1/ICAM1/TGFB1/HLA-DRA/CD86/CD47/SOCS1/LYN/PTPN2/CYLD/HLA-DOB/IL4I1/LILRB2/B2M/STAT5A/HLA-DRB1/CTLA4/TBX21/PTPRC/EFNB1/BTN2A2/TNFRSF21/KITLG/ADAM8/ITGAL/SEMA4D/HLA-DRB5/ZC3H12A/RUNX1/PAG1/FGL1/HLX/CCL5/TSPAN32/EBI3/TNFSF13B/JAK3/IL2RG/LILRB1/CD80/ITGB7/RHOH/FOXO3/VCAM1/SELPLG/HLA-DQB2/BCL6/TNF/SRC/HAS2/VSIR/PHF10/SHB/PDCD1/FUT4/IL6/IL12A/TNFSF18/CD69/CCL2/VNN1/IL18/MAP3K8/IL7/NR4A3/SLAMF1/CD83/CD70/CD24/ASS1/EGR3/CHST2/CR1/IL10/ADTRP/IL7R/HLA-G/CXCL12/BMP4/TNFSF11/RASGRP1/CCR2/GATA3/RIPOR2/IL2RA/PLA2G2D/ADORA2A",120
"GO:1903037","regulation of leukocyte cell-cell adhesion","113/2069","401/18860",0.281795511221945,2.5687111366099,11.1458290023466,6.3107490391316e-22,5.38216739480224e-19,3.9003276016287e-19,"IRF1/NOD2/HLA-DMA/HLA-DMB/HLA-DPA1/ASCL2/FGL2/PDCD1LG2/CD74/TNFRSF14/LAG3/JAK2/IL12RB1/KLF4/HLA-DQB1/IDO1/HLA-DOA/HLA-E/CCDC88B/CD55/HLA-DPB1/DUSP10/HLA-A/IL15/HLA-DQA1/LILRB4/RIPK2/CD37/CD274/KLRK1/CD28/FCHO1/TGFB1/HLA-DRA/CD86/CD47/SOCS1/LYN/PTPN2/CYLD/HLA-DOB/IL4I1/LILRB2/B2M/STAT5A/HLA-DRB1/CTLA4/TBX21/PTPRC/EFNB1/BTN2A2/TNFRSF21/KITLG/ADAM8/HLA-DRB5/ZC3H12A/RUNX1/PAG1/FGL1/HLX/CCL5/TSPAN32/EBI3/TNFSF13B/JAK3/IL2RG/LILRB1/CD80/RHOH/FOXO3/VCAM1/HLA-DQB2/BCL6/TNF/SRC/HAS2/VSIR/PHF10/SHB/PDCD1/FUT4/IL6/IL12A/TNFSF18/CD69/CCL2/VNN1/IL18/MAP3K8/IL7/NR4A3/SLAMF1/CD83/CD70/CD24/ASS1/EGR3/CHST2/CR1/IL10/ADTRP/IL7R/HLA-G/CXCL12/BMP4/TNFSF11/RASGRP1/CCR2/GATA3/RIPOR2/IL2RA/PLA2G2D/ADORA2A",113
"GO:0002697","regulation of immune effector process","116/2069","421/18860",0.275534441805226,2.51163826604473,11.0108675308348,1.3281570614802e-21,9.91137207129598e-19,7.18253358247844e-19,"NOD2/CALHM6/HLA-DMB/ASCL2/FGL2/CD40/SLAMF8/TAP2/CD74/TNFRSF14/P2RX7/LAG3/SCIMP/IL12RB1/APPL2/SECTM1/HLA-E/CEACAM1/CD55/DUSP10/C3/HLA-A/HLA-H/NCF1/MR1/LILRB4/HLA-B/RIPK2/CD37/HLA-C/CD274/CX3CR1/CD7/MYD88/KLRK1/CD28/FCGR1A/DENND1B/SERPING1/ARID5A/ICAM1/TGFB1/HLA-DRA/CD86/CGAS/LYN/IL4I1/B2M/STAT5A/IRF5/HLA-DRB1/TLR3/TBX21/TLR7/PTPRC/IRF4/TLR4/HLA-F/LITAF/ZC3H12A/CD1A/CFH/DHX58/DDX60/HLX/A2M/SLAMF6/CD1C/JAK3/IL2RG/TREM2/STAP1/LILRB1/IL27/CD80/SEMA7A/FCER1G/SERPINB9/RSAD2/BCL6/TNF/TICAM1/PARP3/CR1L/CD226/SHB/PDCD1/FCN1/IL33/CD1B/IL6/IL12A/TNFSF18/CD69/IL18/JUNB/LTA/CFP/KLRC4/NR4A3/CD1E/SLAMF1/ATAD5/CD5L/BST2/FCER2/RIGI/CR1/IL10/IL7R/HLA-G/CD244/RBP4/RASGRP1/CCR2/GATA3",116
"GO:0051607","defense response to virus","99/2069","334/18860",0.296407185628743,2.70190407006191,11.0158693179792,4.40813348858045e-21,2.92406188075836e-18,2.11899750152814e-18,"IRF1/GBP2/AIM2/CXCL9/FGL2/GBP5/CD40/IL12RB1/NLRC5/GBP3/APOBEC3F/GBP1/PMAIP1/APOBEC3G/PML/IL15/TLR8/IKBKE/STAT2/CD37/MYD88/APOBEC3D/TRIM22/DTX3L/MOV10/CGAS/STAT1/ZNFX1/ACOD1/MICB/ZBP1/IRF5/TLR3/BCL2/TLR7/TANK/IRF2/PTPRC/TRIM21/CASP1/CUL1/AGBL5/CXCL10/ADAR/IRF7/ISG20/ZC3H12A/SERINC5/OTUD4/RTP4/IFIH1/APOBEC3A/DHX58/DDX60/GBP7/IFIT5/TSPAN32/RAB2B/CXADR/PLSCR1/LILRB1/IL27/IFI27/PARP9/IFITM2/IFNGR1/TRIM31/TBKBP1/RSAD2/IFITM3/TNF/SHFL/IFITM1/TICAM1/TNFAIP3/DDX60L/IRF9/IFIT2/APOBEC3B/IL33/IL6/IFIT3/DDIT4/IFI44L/OAS2/BST2/TRIM7/OAS1/IFI6/OAS3/RNASE6/RIGI/TRIM25/USP18/MX1/HERC5/ISG15/ZDHHC11B/OASL",99
"GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","74/2069","210/18860",0.352380952380952,3.21213376602453,11.3157386650972,7.17142248048037e-21,4.28133922084678e-18,3.10258383102887e-18,"ASCL2/CD40/TAP2/P2RX7/JAK2/IL12RB1/SECTM1/HLA-E/CEACAM1/CD55/C3/HLA-A/HLA-H/PLA2G4A/MR1/LILRB4/HLA-B/RIPK2/HLA-C/CD274/CD7/CD28/SLC11A1/FCGR1A/DENND1B/ARID5A/TGFB1/HLA-DRA/IL4I1/B2M/STAT5A/HLA-DRB1/TBX21/PTPRC/HLA-F/ZC3H12A/CD1A/HLX/CD1C/TNFSF13B/JAK3/TREM2/LILRB1/IL27/CD80/CLEC6A/FCER1G/RSAD2/BCL6/TNF/TNFAIP3/PARP3/CR1L/CD226/PDCD1/IL33/CD1B/IL6/IL12A/TNFSF18/CD69/IL18/JUNB/LTA/CD1E/SLAMF1/ATAD5/FCER2/CR1/IL10/IL7R/HLA-G/CCR2/GATA3",74
