"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","chromosome segregation","92/949","434/18860",0.211981566820276,4.21282650182341,15.5865186812314,6.14471436981341e-33,3.05085068461236e-29,2.74248304505356e-29,"TOP2A/OIP5/CENPP/CCNB2/CDC20/DLGAP5/NCAPD2/BUB1B/MEIKIN/TTK/NUSAP1/ASPM/CENPF/BRCA1/BIRC5/SPAG5/ESCO2/KIF11/PRC1/NCAPH/KIF14/CDK1/GPSM2/ZWINT/CCNE2/MAD2L1/MKI67/FIRRM/NCAPG2/NEK2/NUF2/CENPU/KIF15/NCAPG/SPC25/SPC24/KNL1/CENPM/UHRF1/CDT1/BUB1/NCAPD3/PLK1/KIFC1/CENPI/CENPE/SMC2/KIF18B/AURKB/NDC80/TACC3/TPX2/CENPK/CENPS/PHF10/KIF4A/MYBL2/SGO2/RCC1/ESPL1/TRIP13/UBE2C/SKA1/HJURP/KIF23/FANCD2/SMC4/CDCA8/HASPIN/MND1/BCL7A/KIF2C/CDC6/RACGAP1/DSN1/CDCA2/SGO1/SKA3/CENPH/SPICE1/DIAPH3/XRCC3/PSMC3IP/KIF22/FBXO5/NCAPH2/STIL/CCNE1/DMC1/FAM83D/CENPQ/SYCE2",92
"GO:0000280","nuclear division","93/949","453/18860",0.205298013245033,4.08000055827326,15.2735823068773,3.91976564782998e-32,9.73081822073793e-29,8.74726649831533e-29,"CD28/TOP2A/LRP5/CCNB2/CDC20/DLGAP5/NCAPD2/BUB1B/MEIKIN/TTK/NUSAP1/ASPM/CENPF/BIRC5/SPAG5/KIF11/PRC1/NCAPH/ANLN/KIF14/CDK1/ZWINT/CCNE2/MAD2L1/MKI67/NCAPG2/NEK2/NUF2/KIF15/NCAPG/SPC25/RAD54L/SPC24/KNL1/UHRF1/CDT1/BUB1/NCAPD3/PLK1/KIFC1/CENPI/CENPE/SMC2/KIF18B/AURKB/NDC80/TPX2/CENPK/PKMYT1/NFIA/CHEK1/RAD51/CENPS/KIF4A/MYBL2/PDE3A/EME1/CDC25C/RCC1/ESPL1/TRIP13/UBE2C/SKA1/KIF23/FANCD2/SMC4/CDCA8/HASPIN/GPR3/MND1/KIF2C/FANCA/KIF20B/RACGAP1/RAD51AP1/CDCA2/SGO1/MYBL1/SKA3/SPICE1/RAD54B/XRCC3/INSR/PSMC3IP/KIF22/FBXO5/NCAPH2/BRME1/CCNE1/DMC1/BMP4/FBXO43/SYCE2",93
"GO:0098813","nuclear chromosome segregation","76/949","323/18860",0.235294117647059,4.67612967210066,15.3392765742845,1.75490212663432e-30,2.9043630195798e-27,2.61080176032615e-27,"TOP2A/CCNB2/CDC20/DLGAP5/NCAPD2/BUB1B/MEIKIN/TTK/NUSAP1/ASPM/CENPF/BIRC5/SPAG5/KIF11/PRC1/NCAPH/KIF14/CDK1/ZWINT/CCNE2/MAD2L1/NCAPG2/NEK2/NUF2/KIF15/NCAPG/SPC25/SPC24/KNL1/UHRF1/CDT1/BUB1/NCAPD3/PLK1/KIFC1/CENPI/CENPE/SMC2/KIF18B/AURKB/NDC80/TACC3/TPX2/CENPK/PHF10/KIF4A/MYBL2/RCC1/ESPL1/TRIP13/UBE2C/SKA1/KIF23/FANCD2/SMC4/CDCA8/HASPIN/MND1/BCL7A/KIF2C/CDC6/RACGAP1/DSN1/SGO1/SKA3/SPICE1/XRCC3/PSMC3IP/KIF22/FBXO5/NCAPH2/CCNE1/DMC1/FAM83D/CENPQ/SYCE2",76
"GO:0140014","mitotic nuclear division","70/949","281/18860",0.249110320284698,4.95070668131654,15.3585175729756,8.76448440304102e-30,1.08789162652747e-26,9.77931943918262e-27,"CD28/LRP5/CDC20/DLGAP5/NCAPD2/BUB1B/TTK/NUSAP1/CENPF/BIRC5/SPAG5/KIF11/PRC1/NCAPH/ANLN/KIF14/CDK1/ZWINT/MAD2L1/MKI67/NCAPG2/NEK2/NUF2/KIF15/NCAPG/SPC25/SPC24/KNL1/UHRF1/CDT1/BUB1/NCAPD3/PLK1/KIFC1/CENPI/CENPE/SMC2/KIF18B/AURKB/NDC80/TPX2/CENPK/PKMYT1/NFIA/CHEK1/KIF4A/MYBL2/CDC25C/RCC1/ESPL1/TRIP13/UBE2C/SKA1/KIF23/SMC4/CDCA8/HASPIN/KIF2C/KIF20B/RACGAP1/CDCA2/SKA3/SPICE1/XRCC3/INSR/KIF22/FBXO5/NCAPH2/BMP4/FBXO43",70
"GO:0000070","mitotic sister chromatid segregation","57/949","192/18860",0.296875,5.89996048472076,15.7082142264289,9.91325968553002e-29,9.84386686773131e-26,8.84888864560995e-26,"CDC20/DLGAP5/NCAPD2/BUB1B/TTK/NUSAP1/CENPF/BIRC5/SPAG5/KIF11/PRC1/NCAPH/KIF14/CDK1/ZWINT/MAD2L1/NCAPG2/NEK2/NUF2/KIF15/NCAPG/SPC25/SPC24/KNL1/UHRF1/CDT1/BUB1/NCAPD3/PLK1/KIFC1/CENPI/CENPE/SMC2/KIF18B/AURKB/NDC80/TPX2/CENPK/KIF4A/MYBL2/RCC1/ESPL1/TRIP13/UBE2C/SKA1/KIF23/SMC4/CDCA8/HASPIN/KIF2C/RACGAP1/SKA3/SPICE1/XRCC3/KIF22/FBXO5/NCAPH2",57
"GO:0000819","sister chromatid segregation","62/949","233/18860",0.266094420600858,5.28824106694646,15.1606637065882,3.28953155158937e-28,2.7220873589402e-25,2.44694978574367e-25,"TOP2A/CDC20/DLGAP5/NCAPD2/BUB1B/TTK/NUSAP1/CENPF/BIRC5/SPAG5/KIF11/PRC1/NCAPH/KIF14/CDK1/ZWINT/MAD2L1/NCAPG2/NEK2/NUF2/KIF15/NCAPG/SPC25/SPC24/KNL1/UHRF1/CDT1/BUB1/NCAPD3/PLK1/KIFC1/CENPI/CENPE/SMC2/KIF18B/AURKB/NDC80/TACC3/TPX2/CENPK/PHF10/KIF4A/MYBL2/RCC1/ESPL1/TRIP13/UBE2C/SKA1/KIF23/SMC4/CDCA8/HASPIN/BCL7A/KIF2C/CDC6/RACGAP1/SKA3/SPICE1/XRCC3/KIF22/FBXO5/NCAPH2",62
"GO:0006260","DNA replication","69/949","290/18860",0.237931034482759,4.72853457359834,14.7286770997747,4.56416074791713e-28,3.23729401620122e-25,2.91008143927348e-25,"PCLAF/CCNA2/MCM5/RECQL4/BRCA1/FGFR1/ESCO2/EXO1/FAM111B/JADE1/CDK1/TK1/MCM6/MCM4/CCNE2/GINS2/POLA1/CDC25A/FEN1/MCM7/POLE/WEE1/DSCC1/GINS4/MCM2/ORC1/CHAF1B/MMS22L/CDT1/RFC4/CHAF1A/GINS1/E2F8/MCM8/TICRR/WDHD1/NFIA/CHEK1/RAD51/CENPS/RFC5/DNA2/BLM/CHTF18/POLQ/LIG1/TONSL/EME1/RRM1/POLE2/ORC6/RFC3/E2F7/CDC45/MCM10/CDC6/DONSON/GINS3/PCNA/TRAIP/ATAD5/MCM3/DTL/FBXO5/DUT/ID3/DDX11/CCNE1/CDC7",69
"GO:0006261","DNA-templated DNA replication","50/949","171/18860",0.292397660818713,5.81097985568065,14.5469210281044,5.24340398359504e-25,3.25418759731867e-22,2.9252674855846e-22,"MCM5/BRCA1/FGFR1/EXO1/CDK1/TK1/MCM6/MCM4/CCNE2/POLA1/FEN1/MCM7/POLE/GINS4/MCM2/ORC1/MMS22L/CDT1/RFC4/GINS1/E2F8/MCM8/TICRR/WDHD1/RAD51/CENPS/RFC5/DNA2/BLM/POLQ/LIG1/TONSL/EME1/RRM1/POLE2/ORC6/RFC3/E2F7/CDC45/MCM10/CDC6/DONSON/PCNA/TRAIP/ATAD5/MCM3/FBXO5/DDX11/CCNE1/CDC7",50
"GO:1905818","regulation of chromosome separation","33/949","76/18860",0.434210526315789,8.62930508568576,15.340173019396,3.77337795310466e-23,2.08164683746274e-20,1.87124240013611e-20,"CDC20/DLGAP5/NCAPD2/BUB1B/TTK/CENPF/BIRC5/NCAPH/ZWINT/MAD2L1/NCAPG2/NUF2/NCAPG/SPC25/SPC24/KNL1/BUB1/NCAPD3/PLK1/SMC2/AURKB/NDC80/ESPL1/TRIP13/UBE2C/SKA1/SMC4/CDCA8/HASPIN/SKA3/XRCC3/FBXO5/NCAPH2",33
"GO:0007088","regulation of mitotic nuclear division","39/949","119/18860",0.327731092436975,6.51318061471164,13.8871088728273,8.77900178002324e-22,4.35877438378154e-19,3.91820711024195e-19,"CD28/LRP5/CDC20/DLGAP5/BUB1B/TTK/NUSAP1/CENPF/BIRC5/ZWINT/MAD2L1/MKI67/NEK2/NUF2/SPC25/SPC24/KNL1/BUB1/PLK1/AURKB/NDC80/PKMYT1/CHEK1/CDC25C/RCC1/ESPL1/TRIP13/UBE2C/SKA1/CDCA8/HASPIN/KIF20B/CDCA2/SKA3/XRCC3/INSR/FBXO5/BMP4/FBXO43",39
