"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009615","response to virus","106/1120","445/18860",0.238202247191011,4.01115569823435,16.1517241919896,3.04854059274032e-36,1.07441516635757e-32,8.04719921524098e-33,"IRF1/GBP2/AIM2/CXCL9/FGL2/GBP5/CD40/JAK2/IL12RB1/NLRC5/NMI/GBP3/APOBEC3F/GBP1/PMAIP1/APOBEC3G/BATF3/PML/IL15/TLR8/PSMA2/IKBKE/STAT2/CD37/MYD88/APOBEC3D/TRIM22/DTX3L/TGFB1/MOV10/CGAS/STAT1/ZNFX1/ACOD1/MICB/ZBP1/IRF5/TLR3/TBX21/TLR7/TANK/IRF2/PTPRC/TRIM21/CASP1/CUL1/CXCL10/ADAR/IRF7/ISG20/ZC3H12A/OTUD4/RTP4/IFIH1/APOBEC3A/DHX58/DDX60/GBP7/CCL5/IFIT5/TSPAN32/RAB2B/PLSCR1/LILRB1/IL27/IFI27/PARP9/IFITM2/TRIM31/TBKBP1/RSAD2/IFITM3/TNF/SHFL/IFITM1/TICAM1/TNFAIP3/DDX60L/IRF9/CCL8/IFIT2/IL33/IL6/IL12A/IFIT3/IFI44L/MAPK11/OAS2/BST2/TRIM7/OAS1/SMAD3/IFI6/OAS3/RIGI/TRIM25/USP18/MX1/CXCL12/CCL4/HERC5/ISG15/IFI44/GATA3/ZDHHC11B/OASL",106
"GO:0051607","defense response to virus","91/1120","334/18860",0.272455089820359,4.58794910179641,16.6234136172599,3.94063879096852e-36,1.07441516635757e-32,8.04719921524098e-33,"IRF1/GBP2/AIM2/CXCL9/FGL2/GBP5/CD40/IL12RB1/NLRC5/GBP3/APOBEC3F/GBP1/PMAIP1/APOBEC3G/PML/IL15/TLR8/IKBKE/STAT2/CD37/MYD88/APOBEC3D/TRIM22/DTX3L/MOV10/CGAS/STAT1/ZNFX1/ACOD1/MICB/ZBP1/IRF5/TLR3/TLR7/TANK/IRF2/PTPRC/TRIM21/CASP1/CUL1/CXCL10/ADAR/IRF7/ISG20/ZC3H12A/OTUD4/RTP4/IFIH1/APOBEC3A/DHX58/DDX60/GBP7/IFIT5/TSPAN32/RAB2B/PLSCR1/LILRB1/IL27/IFI27/PARP9/IFITM2/TRIM31/TBKBP1/RSAD2/IFITM3/TNF/SHFL/IFITM1/TICAM1/TNFAIP3/DDX60L/IRF9/IFIT2/IL33/IL6/IFIT3/IFI44L/OAS2/BST2/TRIM7/OAS1/IFI6/OAS3/RIGI/TRIM25/USP18/MX1/HERC5/ISG15/ZDHHC11B/OASL",91
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","96/1120","402/18860",0.238805970149254,4.02132196162047,15.3854161288937,5.80688870702891e-33,1.05549880398096e-29,7.90551866079726e-30,"IL18BP/ASCL2/C4A/CD40/TAP2/CD74/P2RX7/JAK2/IL12RB1/SECTM1/HLA-E/CEACAM1/C3/HLA-A/CSF2RB/TLR8/HLA-H/BTN3A3/PLA2G4A/C1QB/MR1/LILRB4/HLA-B/RIPK2/HLA-C/C1QC/C2/CD274/CD7/MYD88/C4B/BTN3A2/SEMA4A/FCGR1A/DENND1B/ARID5A/ICAM1/TGFB1/HLA-DRA/RELB/C1R/IL4I1/B2M/STAT5A/HLA-DRB1/TBX21/PTPRC/IRF4/TLR4/HLA-F/STAT3/C1S/IRF7/ZC3H12A/PCYT1A/HLX/C1RL/SLAMF6/EBI3/NBN/TNFSF13B/JAK3/LILRB1/IL27/CD80/CLEC6A/NFKB2/FCER1G/CTSC/RSAD2/BCL6/FCGR3B/TNF/TNFAIP3/PARP3/LIG4/CR1L/CD226/KLHL6/PDCD1/IL12RB2/IL33/IL6/IL12A/TNFSF18/CD69/JUNB/LTA/SLAMF1/CD70/STAT4/FCER2/HLA-G/SOCS3/GATA3/CCR6",96
"GO:0002697","regulation of immune effector process","95/1120","421/18860",0.225653206650831,3.79983881913811,14.598120030488,1.54626393057318e-30,2.10794430335389e-27,1.57881685542736e-27,"NOD2/CALHM6/HLA-DMB/ASCL2/FGL2/CD40/SLAMF8/TAP2/CD74/TNFRSF14/P2RX7/LAG3/SCIMP/IL12RB1/SECTM1/HLA-E/CEACAM1/DUSP10/C3/HLA-A/HLA-H/NCF1/MR1/LILRB4/HLA-B/RIPK2/CD37/HLA-C/CD274/CD7/MYD88/FCGR1A/DENND1B/SERPING1/ARID5A/ICAM1/TGFB1/HLA-DRA/CD86/CGAS/LYN/IL4I1/B2M/STAT5A/IRF5/HLA-DRB1/TLR3/TBX21/TLR7/PTPRC/IRF4/TLR4/HLA-F/LITAF/ZC3H12A/CFH/DHX58/DDX60/HLX/A2M/SLAMF6/JAK3/IL2RG/STAP1/LILRB1/IL27/CD80/SEMA7A/FCER1G/SERPINB9/RSAD2/BCL6/TNF/TICAM1/PARP3/CR1L/CD226/PDCD1/IL33/IL6/IL12A/TNFSF18/CD69/JUNB/LTA/NR4A3/SLAMF1/CD5L/BST2/FCER2/RIGI/HLA-G/CD244/RASGRP1/GATA3",95
"GO:0007159","leukocyte cell-cell adhesion","96/1120","439/18860",0.218678815489749,3.68239505369346,14.2886083456831,1.04808922984171e-29,1.14304611406537e-26,8.56123413007543e-27,"IRF1/NOD2/HLA-DMA/HLA-DMB/HLA-DPA1/ASCL2/FGL2/PDCD1LG2/CD74/TNFRSF14/LAG3/JAK2/IL12RB1/KLF4/HLA-DQB1/IDO1/HLA-DOA/HLA-E/CCDC88B/HLA-DPB1/DUSP10/HLA-A/IL15/HLA-DQA1/LILRB4/RIPK2/CD37/CD274/SELL/FCHO1/ICAM1/TGFB1/HLA-DRA/CD86/CD47/SOCS1/LYN/PTPN2/CYLD/HLA-DOB/IL4I1/LILRB2/B2M/STAT5A/HLA-DRB1/CTLA4/TBX21/PTPRC/BTN2A2/ITGAL/SEMA4D/HLA-DRB5/ZC3H12A/RUNX1/PAG1/HLX/CCL5/TSPAN32/EBI3/TNFSF13B/JAK3/IL2RG/LILRB1/CD80/ITGB7/RHOH/VCAM1/HLA-DQB2/BCL6/TNF/SRC/HAS2/PDCD1/FUT4/IL6/IL12A/TNFSF18/CD69/CCL2/MAP3K8/IL7/NR4A3/SLAMF1/CD83/CD70/ASS1/EGR3/CHST2/HLA-G/CXCL12/RASGRP1/GATA3/RIPOR2/IL2RA/PLA2G2D/ADORA2A",96
"GO:1903037","regulation of leukocyte cell-cell adhesion","91/1120","401/18860",0.226932668329177,3.82138403990025,14.3490067711863,1.77481913076732e-29,1.61301478667904e-26,1.20812249603109e-26,"IRF1/NOD2/HLA-DMA/HLA-DMB/HLA-DPA1/ASCL2/FGL2/PDCD1LG2/CD74/TNFRSF14/LAG3/JAK2/IL12RB1/KLF4/HLA-DQB1/IDO1/HLA-DOA/HLA-E/CCDC88B/HLA-DPB1/DUSP10/HLA-A/IL15/HLA-DQA1/LILRB4/RIPK2/CD37/CD274/FCHO1/TGFB1/HLA-DRA/CD86/CD47/SOCS1/LYN/PTPN2/CYLD/HLA-DOB/IL4I1/LILRB2/B2M/STAT5A/HLA-DRB1/CTLA4/TBX21/PTPRC/BTN2A2/HLA-DRB5/ZC3H12A/RUNX1/PAG1/HLX/CCL5/TSPAN32/EBI3/TNFSF13B/JAK3/IL2RG/LILRB1/CD80/RHOH/VCAM1/HLA-DQB2/BCL6/TNF/SRC/HAS2/PDCD1/FUT4/IL6/IL12A/TNFSF18/CD69/CCL2/MAP3K8/IL7/NR4A3/SLAMF1/CD83/CD70/ASS1/EGR3/CHST2/HLA-G/CXCL12/RASGRP1/GATA3/RIPOR2/IL2RA/PLA2G2D/ADORA2A",91
"GO:0050867","positive regulation of cell activation","90/1120","401/18860",0.224438902743142,3.77939080869255,14.1354374199666,8.82124184653271e-29,6.87174739844898e-26,5.14682982925517e-26,"LRRK2/NOD2/HLA-DMA/HLA-DMB/HLA-DPA1/IL15RA/CD40/PDCD1LG2/CD38/CD74/TNFRSF14/JAK2/IL12RB1/HLA-DQB1/HLA-DOA/HLA-E/PLEK/CCDC88B/HLA-DPB1/DUSP10/HLA-A/IL15/HLA-DQA1/PLA2G4A/KARS1/LILRB4/RIPK2/CD274/AKIRIN2/MYD88/FCHO1/TGFB1/HLA-DRA/CD86/CD47/SOCS1/LYN/CYLD/HLA-DOB/IL4I1/LILRB2/B2M/STAT5A/LILRA2/HLA-DRB1/TBX21/FLT3LG/PTPRC/BTN2A2/TLR4/HLA-DRB5/RUNX1/HLX/CCL5/EBI3/TNFSF13B/IL2RG/STAP1/CDKN1A/LILRB1/CD80/CTSC/RHOH/VCAM1/HLA-DQB2/BCL6/TNF/TICAM1/SRC/CD226/IL33/IL6/IL12A/GAS6/CCL2/MAP3K8/IL7/NR4A3/SLAMF1/CD83/CD70/HAVCR1/EGR3/HLA-G/FGF10/RASGRP1/GATA3/LILRA5/IL2RA/CCL3",90
"GO:0002696","positive regulation of leukocyte activation","87/1120","381/18860",0.228346456692913,3.84519122609674,14.0969853922879,2.01319870863528e-28,1.37224656977353e-25,1.0277909196717e-25,"LRRK2/NOD2/HLA-DMA/HLA-DMB/HLA-DPA1/IL15RA/CD40/PDCD1LG2/CD38/CD74/TNFRSF14/JAK2/IL12RB1/HLA-DQB1/HLA-DOA/HLA-E/CCDC88B/HLA-DPB1/DUSP10/HLA-A/IL15/HLA-DQA1/PLA2G4A/KARS1/LILRB4/RIPK2/CD274/AKIRIN2/MYD88/FCHO1/TGFB1/HLA-DRA/CD86/CD47/SOCS1/LYN/CYLD/HLA-DOB/IL4I1/LILRB2/B2M/STAT5A/HLA-DRB1/TBX21/FLT3LG/PTPRC/BTN2A2/TLR4/HLA-DRB5/RUNX1/HLX/CCL5/EBI3/TNFSF13B/IL2RG/STAP1/CDKN1A/LILRB1/CD80/CTSC/RHOH/VCAM1/HLA-DQB2/BCL6/TNF/TICAM1/SRC/CD226/IL33/IL6/IL12A/GAS6/CCL2/MAP3K8/IL7/NR4A3/SLAMF1/CD83/CD70/HAVCR1/EGR3/HLA-G/FGF10/RASGRP1/GATA3/IL2RA/CCL3",87
"GO:0034341","response to type II interferon","50/1120","129/18860",0.387596899224806,6.52685492801772,15.8264668414521,3.31806441471394e-28,2.01037836149279e-25,1.50574151217428e-25,"IRF1/GBP2/HLA-DPA1/CALCOCO2/NUB1/GBP4/CIITA/GBP5/CD40/CD74/JAK2/IL12RB1/NLRC5/GBP3/UBD/GBP1/GCH1/RAB20/CD47/STAT1/ACOD1/PTPN2/TLR3/TRIM21/CASP1/TLR4/RAB43/MEFV/IRF8/GBP7/CCL5/PARP14/PARP9/IFITM2/PIM1/CXCL16/IFITM3/TNF/SHFL/IFITM1/KYNU/EDN1/GBP6/CCL2/NR1H3/ASS1/BST2/CYP27B1/CDC42EP2/CCL3",50
"GO:0050863","regulation of T cell activation","89/1120","404/18860",0.22029702970297,3.7096446251768,13.8332989246999,7.70263136333438e-28,4.20024488242623e-25,3.14591680944604e-25,"IRF1/NOD2/HLA-DMA/HLA-DMB/HLA-DPA1/ASCL2/FGL2/PDCD1LG2/CD74/TNFRSF14/LAG3/JAK2/IL12RB1/HLA-DQB1/IDO1/HLA-DOA/HLA-E/CCDC88B/HLA-DPB1/DUSP10/HLA-A/IL15/HLA-DQA1/LILRB4/RIPK2/CD37/CD274/FCHO1/TGFB1/HLA-DRA/CD86/CGAS/CD47/SOCS1/PRELID1/LYN/PTPN2/CYLD/HLA-DOB/IL4I1/LILRB2/B2M/STAT5A/HLA-DRB1/CTLA4/TBX21/PTPRC/IRF4/BTN2A2/HLA-DRB5/ZC3H12A/RUNX1/PAG1/HLX/CCL5/TSPAN32/EBI3/TNFSF13B/JAK3/IL2RG/LILRB1/IL27/CD80/RHOH/SH3RF1/VCAM1/HLA-DQB2/BCL6/SRC/PDCD1/IL6/IL12A/TNFSF18/CD69/CCL2/JUNB/MAP3K8/IL7/SLAMF1/CD83/CD70/EGR3/HLA-G/RASGRP1/GATA3/RIPOR2/IL2RA/PLA2G2D/ADORA2A",89
