"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0048002","antigen processing and presentation of peptide antigen",63,0.785619604938649,2.69025049563209,1e-10,4.67835051546392e-09,3.58762886597938e-09,1027,"tags=57%, list=7%, signal=54%","3108/3109/3113/6890/6891/972/64167/3119/10437/3111/3133/3115/3105/3136/3117/219972/3140/3106/6892/3107/2209/55080/1520/3122/3112/567/3123/2923/81622/3134/3127/55016/51752/2207/1514/3120"
"GO:0002250","adaptive immune response",386,0.621565164280869,2.68198113114443,1e-10,4.67835051546392e-09,3.58762886597938e-09,1482,"tags=40%, list=10%, signal=37%","3659/64127/10068/3108/3109/3113/430/720/6890/958/80380/695/6891/972/8764/5027/3902/3717/3594/64167/3702/3119/6398/3111/11119/56259/3133/634/27074/3115/11221/718/3105/1439/51311/3136/3117/10384/5321/219972/713/3140/11006/3106/8767/3107/714/717/29126/2214/55122/924/4615/721/11118/10462/64218/2209/5817/57823/163486/10865/3383/7040/1520/3122/942/11025/4277/4067/6778/5971/3112/715/259307/10288/567/6776/127544/3123/1493/30009/255231/7186/5788/3662/5777/2923/7099/81622/712/3134/1512/6774/716/64581/3665/3127/80149/5130/55824/3142/51279/114836/10312/10148/4683/10673/2185/3718/10859/51752/246778/941/93978/4791/5579/2207/3570/79168/1514/3965/1075/91543/3120/604/2215/975/64421/7124/11024/7128/10039/3981/1379/5819/10666/89857/8417/4179/121260/5293/7855/5133/3595/10892/8832/23411/90865/3569/3592/8995/3572/23108/969"
"GO:0002478","antigen processing and presentation of exogenous peptide antigen",37,0.844893080022932,2.63870707483566,1e-10,4.67835051546392e-09,3.58762886597938e-09,1027,"tags=68%, list=7%, signal=63%","3108/3109/3113/6891/972/3119/10437/3111/3133/3115/3105/3117/219972/2209/1520/3122/3112/567/3123/81622/3134/3127/2207/1514/3120"
"GO:1905818","regulation of chromosome separation",72,-0.654111139288249,-2.58914405414197,1e-10,4.67835051546392e-09,3.58762886597938e-09,2463,"tags=61%, list=16%, signal=52%","5885/51529/84861/9183/9735/348654/29781/26271/54908/7517/221150/3619/83903/55143/10051/220134/11065/9319/9700/25906/891/10403/9212/8697/10592/5347/23310/699/57082/147841/57405/64151/83540/54892/4085/11130/23397/332/1063/7272/701/9918/9787/991"
"GO:0051306","mitotic sister chromatid separation",61,-0.672665243829114,-2.58117793743647,1e-10,4.67835051546392e-09,3.58762886597938e-09,2463,"tags=61%, list=16%, signal=51%","5885/51529/84861/9183/9735/348654/29781/26271/54908/7517/221150/3619/83903/55143/220134/11065/9319/9700/25906/891/10403/9212/8697/5347/699/57082/147841/57405/83540/4085/11130/332/1063/7272/701/9787/991"
"GO:0019882","antigen processing and presentation",104,0.692793917257565,2.55910103163622,1e-10,4.67835051546392e-09,3.58762886597938e-09,1027,"tags=43%, list=7%, signal=41%","64127/3108/3109/3113/10875/6890/6891/972/64167/3119/10437/5720/3111/3133/3115/3105/5696/3136/3117/219972/3140/3106/6892/3107/2209/55080/3383/1520/3122/5971/3112/10288/567/3123/2923/81622/3134/1512/3127/55016/51752/2207/10392/1514/3120"
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",277,0.609835371588716,2.55808162047741,1e-10,4.67835051546392e-09,3.58762886597938e-09,2148,"tags=45%, list=14%, signal=39%","10068/430/720/958/695/6891/972/5027/3717/3594/6398/3133/634/718/3105/1439/51311/3136/10384/5321/713/3140/11006/3106/8767/3107/714/717/29126/2214/924/4615/721/11118/64218/2209/5817/163486/10865/3383/7040/3122/6778/5971/715/259307/567/6776/3123/30009/7186/5788/3662/5777/7099/81622/712/3134/1512/6774/716/64581/3665/80149/5130/3142/51279/114836/10312/10148/4683/10673/3718/10859/246778/941/93978/4791/2207/3570/3965/1075/91543/604/2215/975/7124/7128/10039/3981/1379/5819/10666/89857/8417/4179/121260/7855/5133/3595/10892/90865/3569/3592/8995/3572/969/3726/4049/51571/54542/11277/3716/6504/970/84868/6775/84695/200558/2208/6046/6693/23476/10538"
"GO:0051607","defense response to virus",282,0.606517122744118,2.5444378854264,1e-10,4.67835051546392e-09,3.58762886597938e-09,2530,"tags=45%, list=16%, signal=39%","3659/2634/9447/4283/10875/115362/958/3594/84166/27350/2635/200316/2633/5366/60489/5371/3600/51311/9641/6773/3455/951/4615/8673/140564/10346/151636/4343/115004/6772/57169/730249/4277/81030/3428/197259/3663/7726/140739/7098/51284/10010/3660/5788/6737/834/8454/3627/10475/81622/103/3665/3669/80149/54726/64108/64135/200315/79132/55601/388646/598/24138/10077/84932/5359/10859/246778/3429/83666/10581/57724/11074/9755/91543/80212/10410/7124/55337/8519/148022/7128/91351/5495/10379/91445/3433/90865/3569/8780/3437/5970/29110/170506/7187/51257/10964/661/81844/11277/23515/84640/3661/4939/684/81786/9188/4938/2537/4940/81559/6693/23586/79594/4690/7097/7706/51251/9474/11274/53840/4599/5610/3460/51191/9636/85363/91607"
"GO:0051304","chromosome separation",79,-0.634410934856138,-2.53363662193219,1e-10,4.67835051546392e-09,3.58762886597938e-09,2463,"tags=56%, list=16%, signal=47%","5885/51529/84861/9183/9735/348654/29781/26271/54908/7517/221150/3619/83903/55143/10051/220134/11065/9319/9700/25906/891/10403/9212/8697/10592/5347/23310/699/57082/147841/57405/64151/83540/54892/4085/11130/23397/332/1063/7272/701/9918/9787/991"
"GO:0019884","antigen processing and presentation of exogenous antigen",46,0.778952448270842,2.52516770544048,1e-10,4.67835051546392e-09,3.58762886597938e-09,1027,"tags=59%, list=7%, signal=55%","3108/3109/3113/6891/972/3119/10437/5720/3111/3133/3115/3105/3117/219972/3140/2209/1520/3122/3112/567/3123/81622/3134/3127/2207/1514/3120"
